District,STATE,REMARKS,State_LGD,DISTRICT_L,Shape_Leng,Shape_Area,clayskeletal_count,clayskeletal_sum,clayskeletal_mean
CENTRAL,DELHI,,7,"77",92366.02411550000,103186016.09400001168,3,0,0
CH>MAR>JANAGAR,KARN>TAKA,,29,"531",591094.40235300001,5667936944.09000015259,229,470733,2055.60262008734
CHAMBA,HIM>CHAL PRADESH,,2,"16",561018.42641199997,6411374707.60999965668,260,0,0
CHAMP>WAT,UTTAR>KHAND,,5,"48",271591.23589200003,1715186952.97000002861,71,0,0
CHAMPH>I,MIZORAM,,15,"262",417447.64627299999,3269846214.01000070572,137,51076,372.817518248175
CHANDAULI,UTTAR PRADESH,,9,"135",383495.88005899999,2452050714.15000009537,102,0,0
CHANDEL,MANIPUR,,14,"253",237512.98587400001,1896502418.80999994278,78,49337,632.525641025641
CHANDIGARH,CHAND|GARH,,4,"44",62113.07637860000,111867387.14599999785,5,0,0
CHATRA,JH>RKHAND,,20,"323",563467.09325899999,3659068583.38000059128,156,0,0
CHHATARPUR,MADHYA PRADESH,,23,"398",996335.29110799998,8344542362.18999958038,348,0,0
CHHINDWARA,MADHYA PRADESH,,23,"399",814856.77476800000,11368092974.29999923706,467,0,0
CHHOTA UDEPUR,GUJAR>T,,24,"668",515414.99447699997,3326713607.30000019073,139,0,0
CHIK BALL>PUR,KARN>TAKA,,29,"630",493203.11986500002,4213065376.55999994278,171,740423,4329.95906432749
CHIKKAMAGAL@RU,KARN>TAKA,,29,"532",590659.05133000005,7157359114.53999996185,287,1154999,4024.38675958188
CHITRADURGA,KARN>TAKA,,29,"533",674318.41025099996,8346938429.78999996185,338,1060639,3137.98520710059
CHITRAKOOT,UTTAR PRADESH,,9,"136",533683.22727000003,3070689929.17999982834,128,0,0
CHITTAURGARH,R>JASTH>N,,8,"95",1003416.54359999998,7515310038.81000041962,316,0,0
CHITTOOR,ANDHRA PRADESH,,28,"503",1287744.15934000001,14907547828.40000152588,604,822225,1361.29966887417
CHUR>CH>NDPUR,MANIPUR,,14,"254",288454.45405000000,2341837747.98000001907,100,604120,6041.2
CH@RU,R>JASTH>N,,8,"96",1026392.85028000001,13393563936.09999847412,558,0,0
Y S R KADAPA,ANDHRA PRADESH,,28,"504",796144.60942200001,15155269448.50000000000,610,1755348,2877.61967213115
CUTTACK,ODISHA,,21,"350",623347.49237999995,3720048022.69999980927,157,0,0
D>HOD,GUJAR>T,,24,"445",397208.12360799999,3503175922.00000000000,142,0,0
DAKSHINA  KANNADA,KARN>TAKA,,29,"534",485546.30545699998,4846207973.22000026703,190,1599532,8418.58947368421
DAMAN,D>DRA & NAGAR HAVELI & DAM>N & DIU,,38,"463",49913.14934440000,68969441.33020000160,2,0,0
DAMOH,MADHYA PRADESH,,23,"400",634967.98026800004,7021653982.39000034332,291,0,0
D>NGS,GUJAR>T,,24,"444",267412.23872099997,1703425588.23000025749,71,0,0
DAKSHIN BASTAR DANTEW>DA,CHHATT|SGARH,,22,"376",460460.21793400001,2733461710.07000017166,112,0,0
DATIA,MADHYA PRADESH,,23,"401",560683.83120799996,2585631791.92000007629,110,0,0
DAUSA,R>JASTH>N,,8,"97",515836.19162000000,3292720927.65000057220,139,0,0
D>VANGERE,KARN>TAKA,,29,"535",589250.39690800000,5852940042.40999984741,235,161744,688.272340425532
DEHRAD@N,UTTAR>KHAND,,5,"49",503253.16431000002,3019033005.11000013351,125,0,0
DEOGARH,ODISHA,,21,"351",409810.12600300001,2847432415.71000003815,119,0,0
DEORIA,UTTAR PRADESH,,9,"137",396811.75571900001,2443591235.76999998093,100,0,0
DEWAS,MADHYA PRADESH,,23,"402",851413.88103399996,6745244327.27000045776,276,496145,1797.6268115942
DHALAI,TRIPURA,,16,"269",368965.01104900002,2191520472.86999988556,93,0,0
DHAMTARI,CHHATT|SGARH,,22,"377",432007.38739900000,3943167561.26000022888,164,0,0
DHANBAD,JH>RKHAND,,20,"325",224325.41372600000,1959276427.23000001907,82,0,0
DHAR,MADHYA PRADESH,,23,"403",594125.33839599998,7847408490.51000022888,326,392754,1204.76687116564
AYODHYA,UTTAR PRADESH,,9,"140",368810.21522000001,2590690408.88000011444,109,0,0
DEOGHAR,JH>RKHAND,,20,"324",310907.25985899998,2390217604.53000020981,97,0,0
DH>RWAD,KARN>TAKA,,29,"536",466079.21497600002,4185668771.86000013351,173,391237,2261.48554913295
DHENK>N>L,ODISHA,,21,"352",407088.67625100003,4299977172.51000022888,178,0,0
DHAULPUR,R>JASTH>N,,8,"98",397730.00105700002,2923875633.46000003815,123,0,0
DINDORI,MADHYA PRADESH,,23,"404",640341.91001200001,5526516790.03999996185,235,0,0
DUMKA,JH>RKHAND,,20,"326",406167.96867799998,3615427429.57999992371,153,0,0
D@NGARPUR,R>JASTH>N,,8,"99",373314.88251800003,3625027685.80000019073,150,0,0
DURG,CHHATT|SGARH,,22,"378",341679.97551800002,2214112656.50000000000,91,0,0
EAST,DELHI,,7,"78",24536.83059660000,30510722.91580000147,1.26104937829829,0,0
EAST,SIKKIM,,11,"225",146187.57622500000,905270519.66700017452,36,0,0
EAST G>RO HILLS,MEGH>LAYA,,17,"273",241796.98896600000,1521778459.57999992371,63,0,0
EAST GODAVARI,ANDHRA PRADESH,,28,"505",1004317.88398000004,12589817609.00000190735,514,729931,1420.09922178988
EAST KH>SI HILLS,MEGH>LAYA,,17,"274",331204.46958500001,2735979477.26999998093,112,0,0
EAST NIMAR,MADHYA PRADESH,,23,"405",605136.19215599995,7190925042.03999996185,297,0,0
ERN>KULAM,KERALA,,32,"555",414199.27736299997,3115071285.48000001907,119,336747,2829.80672268908
ETAH,UTTAR PRADESH,,9,"138",494594.14467499999,2338665093.01000022888,100,0,0
ET>WAH,UTTAR PRADESH,,9,"139",330796.84307599999,2241659390.76999998093,93,0,0
FARRUKH>B>D,UTTAR PRADESH,,9,"141",342912.66093900002,2104537712.83999991417,91,0,0
FATEHPUR,UTTAR PRADESH,,9,"142",437048.11623699998,4012799500.53000020981,168,0,0
FIROZ>B>D,UTTAR PRADESH,,9,"143",389477.99888899998,2333857122.82999992371,95,0,0
GADAG,KARN>TAKA,,29,"537",559734.03081899998,4576795324.68999958038,183,139685,763.306010928962
GAJAPATI,ODISHA,,21,"353",505662.57022100000,4001409962.53000020981,167,0,0
GANJ>M,ODISHA,,21,"354",679720.08148699999,8115391150.28999996185,332,0,0
GARHWA,JH>RKHAND,,20,"328",411883.17961699999,3943667394.67999982834,163,0,0
GARIY>BAND,CHHATT|SGARH,,22,"645",512147.53486999997,4675476420.44999980927,194,8967,46.2216494845361
GAUTAMBUDHNAGAR,UTTAR PRADESH,,9,"144",310305.17694099998,1367580032.39000010490,56,0,0
GAZIPUR,UTTAR PRADESH,,9,"146",413354.73022299999,3252688582.04000043869,135,0,0
GH>ZI>B>D,UTTAR PRADESH,,9,"145",217418.36005300001,882411235.64299988747,36,0,0
G|R SOMN>TH,GUJAR>T,,24,"675",396544.45320500003,2549589437.78000020981,106,14182,133.792452830189
GIRIDIH,JH>RKHAND,,20,"329",468886.65629900002,4772801949.38000011444,200,0,0
GODDA,JH>RKHAND,,20,"330",314184.80731800001,2195720988.78000020981,94,0,0
GOMATI,TRIPURA,,16,"654",343493.49667500000,1556344729.98000001907,65,7861,120.938461538462
GONDA,UTTAR PRADESH,,9,"147",513177.22554000001,3838936965.90999984741,159,0,0
GORAKHPUR,UTTAR PRADESH,,9,"148",548846.09266199998,3208369037.57999944687,139,0,0
GUMLA,JH>RKHAND,,20,"331",564026.42188299994,5154590132.42000007629,214,0,0
GUNA,MADHYA PRADESH,,23,"406",674934.75869000005,6135291987.36999988556,255,0,0
GUNTUR,ANDHRA PRADESH,,28,"506",800649.10298299999,11159896511.89999961853,454,294930,649.625550660793
GWALIOR,MADHYA PRADESH,,23,"407",392206.19242300000,4392940982.77999973297,185,0,0
HAM|RPUR,HIM>CHAL PRADESH,,2,"17",188675.94177199999,1092455557.70000004768,44,0,0
HAMIRPUR,UTTAR PRADESH,,9,"149",504533.83646399999,3748844216.32000017166,159,0,0
HANUM>NGARH,R>JASTH>N,,8,"101",939963.77775100002,9415831017.53000068665,380,0,0
H>PUR,UTTAR PRADESH,,9,"661",246171.83691600000,1081374944.17000007629,46,0,0
HARDA,MADHYA PRADESH,,23,"408",309197.24647600000,3215630808.73999977112,134,0,0
HARDOI,UTTAR PRADESH,,9,"150",580623.30044499994,5776645684.00000000000,238,0,0
HARIDW>R,UTTAR>KHAND,,5,"50",287340.47263400001,2225504964.00000000000,90,0,0
HASSAN,KARN>TAKA,,29,"539",653271.78234599996,6790131976.16999912262,272,1565603,5755.89338235294
H>THRAS,UTTAR PRADESH,,9,"163",349333.62115800002,1720320995.72000002861,71,0,0
H>VERI,KARN>TAKA,,29,"540",467260.53066200000,4756757131.34000015259,194,697300,3594.32989690722
HAZARIBAGH,JH>RKHAND,,20,"332",663332.48776000005,4170568752.55000019073,171,0,0
HOSHANG>B>D,MADHYA PRADESH,,23,"409",569919.85454199999,6432088919.26000022888,268,0,0
IDUKKI,KERALA,,32,"556",578310.55097400001,4444596050.06999969482,177,16095,90.9322033898305
IMPHAL WEST,MANIPUR,,14,"256",195028.39039799999,468816414.14800000191,17,14575,857.352941176471
INDORE,MADHYA PRADESH,,23,"410",517693.36371200002,3759399157.63999986649,156,51106,327.602564102564
JABALPUR,MADHYA PRADESH,,23,"411",576720.81861199997,4898395541.85999965668,204,0,0
JAGATSINGHPUR,ODISHA,,21,"355",262528.01857900003,1674095798.69999980927,69,23467,340.101449275362
JAIPUR,R>JASTH>N,,8,"102",843777.22914700001,10738111916.79999923706,442,0,0
JAISALMER,R>JASTH>N,,8,"103",1149947.19488000008,37076827428.80000305176,1533,0,0
J>JAPUR,ODISHA,,21,"356",433131.24493300001,2794481950.19999980927,115,17842,155.147826086957
JALAUN,UTTAR PRADESH,,9,"151",494340.82501500001,4393854037.35999965668,181,0,0
J>LOR,R>JASTH>N,,8,"104",734506.07877300004,10237007641.50000000000,427,0,0
JAMTARA,JH>RKHAND,,20,"333",327376.66560800001,1738218050.81999993324,76,0,0
J>NJG|R - CH>MPA,CHHATT|SGARH,,22,"379",555226.65255799994,4321848604.72999954224,184,19997,108.679347826087
JASHPUR,CHHATT|SGARH,,22,"380",501891.72378300002,5627659956.30000019073,236,6524,27.6440677966102
JAUNPUR,UTTAR PRADESH,,9,"152",539279.97495800001,3882282959.90000009537,158,0,0
JHABUA,MADHYA PRADESH,,23,"412",340600.11476600001,3311826109.49000024796,139,523096,3763.28057553957
DISPUTED (RATLAM & B>NSW>RA),DISPUTED (MADHYA PRADESH & R>JASTH>N),,0,,4472.64554852000,690105.44732100004,0.0287058858205295,0,0
JH>L>W>R,R>JASTH>N,,8,"105",754272.12085299997,6098840407.68999958038,256,59227,231.35546875
JHANSI,UTTAR PRADESH,,9,"153",994300.22835600004,4832822966.53999996185,205,0,0
JH>RSUGUDA,ODISHA,,21,"357",357233.91903300001,1995409611.58999991417,86,0,0
JHUNJHUN@N,R>JASTH>N,,8,"106",520688.84273999999,5725228370.84000015259,240,0,0
JODHPUR,R>JASTH>N,,8,"107",1036725.76566000003,21857052895.40000152588,908,0,0
J@N>GADH,GUJAR>T,,24,"448",650849.60524599999,5922423712.60999965668,246,0,0
KAB|RDH>M,CHHATT|SGARH,,22,"382",434302.99125399999,4037905476.30999994278,168,0,0
KALABURAGI,KARN>TAKA,,29,"538",891041.04382400005,10677305597.10000038147,437,210348,481.345537757437
KAL>H>NDI,ODISHA,,21,"358",636149.20425700000,7632727250.78999996185,314,0,0
KANDHAM>L,ODISHA,,21,"359",644946.62214600004,7745678774.94999980927,321,0,0
K>NGRA,HIM>CHAL PRADESH,,2,"18",571807.66898600000,5633809227.67000007629,229,0,0
UTTAR BASTAR K>NKER,CHHATT|SGARH,,22,"381",645466.92956299998,6944506416.56999969482,283,0,0
KANNAUJ,UTTAR PRADESH,,9,"155",309691.03473600000,2015119811.22000002861,83,0,0
KANN@R,KERALA,,32,"557",339137.09602200001,2976762848.44000005722,117,324492,2773.4358974359
KANPUR,UTTAR PRADESH,,9,"157",461116.27630500001,2888527071.26999998093,116,0,0
KANPUR DEHAT,UTTAR PRADESH,,9,"156",371011.67677399999,3041183145.96999931335,124,0,0
K>RAIK>L,PUDUCHERRY,,34,"598",127972.22800700000,160538689.80000001192,7,0,0
KARAULI,R>JASTH>N,,8,"108",519975.88221200003,4832985849.85999965668,194,0,0
K>SARAGOD,KERALA,,32,"558",344680.78840800002,1992999271.91000032425,80,136755,1709.4375
KASGANJ,UTTAR PRADESH,,9,"633",323363.35567899997,1891694043.50999975204,74,0,0
KATNI,MADHYA PRADESH,,23,"413",635802.34950300003,4859759769.97000026703,198,0,0
KAUSHAMBI,UTTAR PRADESH,,9,"158",263022.69539600000,1721997321.44999980927,72,0,0
KENDR>PARHA,ODISHA,,21,"360",406097.54542699998,2444274717.32999992371,103,68858,668.52427184466
KEONJHAR (KENDUJHAR),ODISHA,,21,"361",664391.23017100000,7996780949.92000007629,334,0,0
KHERI,UTTAR PRADESH,,9,"159",689908.29649600002,7431766489.60999965668,308,0,0
KHORDHA,ODISHA,,21,"362",640351.92123900005,2781806247.82000017166,116,0,0
KHOWAI,TRIPURA,,16,"652",231379.59480300001,1011187255.24000000954,42,0,0
KHUNTI,JH>RKHAND,,20,"606",385548.04671099997,2534969139.96999979019,101,0,0
GANG>NAGAR,R>JASTH>N,,8,"100",824329.02861200005,10604700367.50000000000,439,0,0
EAST JAINTIA HILLS,MEGH>LAYA,,17,"657",266454.38842400000,1937293116.24000000954,82,0,0
KODAGU,KARN>TAKA,,29,"541",466411.43999300001,4107024700.63000011444,165,596447,3614.8303030303
KODARMA,JH>RKHAND,,20,"334",313957.61092499999,1575453962.77000021935,65,0,0
KOLAR,KARN>TAKA,,29,"542",499240.77926699998,3961738111.60999965668,154,778763,5056.9025974026
KOLLAM,KERALA,,32,"559",351983.51947599999,2552846259.80000019073,98,412689,4211.11224489796
KONDAGAON,CHHATT|SGARH,,22,"643",478627.41609700001,4908720155.86999988556,205,0,0
KOPPAL,KARN>TAKA,,29,"543",536933.30314900004,5469501330.60999965668,223,677391,3037.62780269058
KOR>PUT,ODISHA,,21,"363",790931.63424699998,8131518072.43000125885,332,4972,14.9759036144578
KORBA,CHHATT|SGARH,,22,"383",484704.92379999999,6347595180.57999992371,262,0,0
KOREA,CHHATT|SGARH,,22,"384",540618.79001300002,6348856686.20000076294,262,0,0
KOTA,R>JASTH>N,,8,"109",608217.65680899995,4895444743.56999969482,201,0,0
KOTTAYAM,KERALA,,32,"560",322325.87532200001,2253782890.44000005722,88,175121,1990.01136363636
KOZHIKODE,KERALA,,32,"561",296315.81918499997,2364872476.19999980927,91,413679,4545.92307692308
KRISHNA,ANDHRA PRADESH,,28,"510",832126.82250200002,8561151314.05000019073,357,447147,1252.51260504202
KULLU,HIM>CHAL PRADESH,,2,"20",422724.96072300000,5379324333.97000026703,219,0,0
KURNOOL,ANDHRA PRADESH,,28,"511",894651.28274199995,17077547954.29999923706,698,471963,676.164756446991
KUSHINAGAR,UTTAR PRADESH,,9,"160",457301.79835499998,2771299334.51999998093,117,0,0
LAKSHADWEEP,LAKSHADWEEP,,31,"553",144322.28282699999,30346283.22520000115,1.19551268443371,0,0
LALITPUR,UTTAR PRADESH,,9,"161",435480.56029100000,4850700924.81999969482,206,0,0
LATEHAR,JH>RKHAND,,20,"335",504222.16652000003,4079607814.34999990463,167,0,0
LOHARDAGA,JH>RKHAND,,20,"336",257886.53827100000,1448312602.47000002861,61,0,0
LUCKNOW,UTTAR PRADESH,,9,"162",370767.28996999998,2438586023.71999979019,100,0,0
MAH>SAMUND,CHHATT|SGARH,,22,"385",522464.37544700003,4579577727.43000030518,189,45383,240.121693121693
MAHE,PUDUCHERRY,,34,"599",27438.10733680000,9020243.77363999933,0.358931737479149,0,0
MAHISAGAR,GUJAR>T,,24,"669",381868.16892099997,2415516260.59999990463,101,0,0
MAHOBA,UTTAR PRADESH,,9,"165",556516.12930000003,3143315712.71000003815,130,0,0
MAINPURI,UTTAR PRADESH,,9,"166",376263.53918399999,2640472978.63999986649,112,0,0
MALAPPURAM,KERALA,,32,"562",405137.23574700003,3589215093.21999979019,143,326828,2285.51048951049
"DISPUTED (S>HIBGANJ, M>LDAH & KATIH>R)","DISPUTED (WEST BENGAL , BIH>R & JH>RKHAND)",,0,,19515.38487790000,13982943.85449999943,0.581477145366051,0,0
MALKANGIRI,ODISHA,,21,"364",502153.52785499999,5614453548.26000022888,232,0,0
MANDYA,KARN>TAKA,,29,"544",546142.24703500001,4958061208.94999980927,195,877093,4497.91282051282
MANDI,HIM>CHAL PRADESH,,2,"22",335860.11042200000,3867140398.40999984741,156,0,0
MANDLA,MADHYA PRADESH,,23,"415",711614.12809400004,7226559285.01000118256,298,0,0
MANDSAUR,MADHYA PRADESH,,23,"416",557027.22299499996,5334714119.27999973297,223,91972,412.430493273543
MATHURA,UTTAR PRADESH,,9,"167",407498.87504900002,3225493065.84000015259,130,0,0
MAU,UTTAR PRADESH,,9,"168",306512.50381899998,1670689971.45000028610,67,0,0
MAY@RBHANJ,ODISHA,,21,"365",778904.11272800004,10022504333.20000076294,417,0,0
MEERUT,UTTAR PRADESH,,9,"169",320531.34472100000,2512807895.46999979019,104,0,0
MIRZAPUR,UTTAR PRADESH,,9,"170",574005.62761400000,4246825888.34999942780,178,0,0
MOR>D>B>D,UTTAR PRADESH,,9,"171",396486.12532200001,1887455028.06000018120,79,0,0
MORENA,MADHYA PRADESH,,23,"417",630246.71711199998,4802761551.71000003815,195,0,0
MUNGELI,CHHATT|SGARH,,22,"647",435239.28960600001,2672352997.36000013351,109,0,0
MUZAFFARNAGAR,UTTAR PRADESH,,9,"172",343519.23882899998,2657072857.88999986649,109,0,0
MYS@RU,KARN>TAKA,,29,"545",677680.91497000004,6319631855.37999916077,255,480419,1883.99607843137
NABARANGAPUR,ODISHA,,21,"366",557230.08014500001,5275175542.98999977112,220,0,0
N>GAUR,R>JASTH>N,,8,"110",954558.16926600004,17172898481.79999923706,710,0,0
NAINIT>L,UTTAR>KHAND,,5,"51",434894.75147299998,3869769679.38999986649,160,0,0
N>R>INPUR,CHHATT|SGARH,,22,"637",437577.54986700002,3772332359.33999967575,152,0,0
NARM>DA,GUJAR>T,,24,"452",404799.25293100002,2713805394.92999982834,110,0,0
NARSHIMAPURA,MADHYA PRADESH,,23,"418",556315.97834200005,4939286406.10000038147,203,0,0
NAY>GARH,ODISHA,,21,"367",434221.30567899998,3763289195.26999998093,158,0,0
POTTI SRIRAMULU NELLORE,ANDHRA PRADESH,,28,"515",669181.75708300003,13056481834.39999961853,533,502409,942.606003752345
NEW DELHI,DELHI,,7,"79",80699.25079190002,151623804.29499998689,7,0,0
NICOBAR,ANDAMAN & NICOBAR,,35,"603",956102.10879600001,1851896396.01999998093,72,0,0
NIMACH,MADHYA PRADESH,,23,"419",646368.77679200005,4122459893.05000019073,168,0,0
NORTH,DELHI,,7,"80",110611.97657800000,282183219.81699997187,11,0,0
NORTH,SIKKIM,,11,"226",328955.13737200003,4082362223.95999956131,173,0,0
NORTH & MIDDLE ANDAMAN,ANDAMAN & NICOBAR,,35,"632",3083245.68361999979,3438875022.58999967575,136,0,0
NORTH EAST,DELHI,,7,"81",47370.02950990000,34205904.85000000149,2,0,0
NORTH GOA,GOA,,30,"551",276203.30368399998,1711985445.77000021935,69,164799,2388.39130434783
NORTH TRIPURA,TRIPURA,,16,"270",316924.45215000003,1293406531.90000009537,53,0,0
NORTH WEST,DELHI,,7,"82",93419.72727940000,149032948.34000000358,7,0,0
N@>PARHA,ODISHA,,21,"368",419771.81935800001,3711854913.36999988556,157,0,0
PAKUR,JH>RKHAND,,20,"337",340590.07903000002,1731475167.26999998093,73,0,0
P>LAKK>D,KERALA,,32,"563",552162.54997199995,4537723823.85000038147,180,48754,270.855555555556
PALAMU,JH>RKHAND,,20,"338",463099.56472199998,4249289634.73999977112,178,0,0
P>LI,R>JASTH>N,,8,"111",870020.43955699995,11919964090.80000114441,491,0,0
P>NCH MAH>LS,GUJAR>T,,24,"454",461032.23681600002,3158853194.36000013351,133,0,0
PANNA,MADHYA PRADESH,,23,"420",884627.45493999997,6826021233.03999996185,285,0,0
WEST SINGHBHUM,JH>RKHAND,,20,"343",533810.61593800003,6950444307.64999961853,288,0,0
PATTANAMTHITTA,KERALA,,32,"564",408012.02513400000,2716777604.46000003815,107,212106,1982.29906542056
PAURI GARHW>L,UTTAR>KHAND,,5,"52",414490.25445399998,5131341078.80000019073,212,0,0
P|L|BH|T,UTTAR PRADESH,,9,"173",596380.04646500002,3641734881.07000017166,151,0,0
PRAKASAM,ANDHRA PRADESH,,28,"517",875362.02812599996,17294622747.00000000000,706,808372,1145.00283286119
PRAT>PGARH,R>JASTH>N,,8,"629",449221.77997500001,4268096507.40000009537,181,67529,373.088397790055
DISPUTED (MANDSAUR & JH>L>W>R),DISPUTED (MADHYA PRADESH & R>JASTH>N),,0,,13397.44972420000,3122206.59617999988,0.129895532337569,82.5003194304043,635.128229168074
PRATAPGARH,UTTAR PRADESH,,9,"174",526670.54426999995,3572749461.46999979019,146,0,0
PUDUCHERRY,PUDUCHERRY,,34,"600",353092.64223000000,299707106.11400002241,17,0,0
EAST SINGHBHUM,JH>RKHAND,,20,"327",422058.45082799997,3420455093.05000019073,140,0,0
PURI,ODISHA,,21,"369",488488.40506800002,3354937698.23000001907,137,0,0
RAIBEARELI,UTTAR PRADESH,,9,"175",502659.71795100003,3784149807.07999992371,157,0,0
R>ICH@R,KARN>TAKA,,29,"546",541023.34376900003,8269769313.36999893188,334,432485,1294.86526946108
RAIGARH,CHHATT|SGARH,,22,"386",713130.61589899997,6781679873.31999969482,281,75758,269.601423487544
RAIPUR,CHHATT|SGARH,,22,"387",291574.89942300000,2798755299.05999994278,118,0,0
RAISEN,MADHYA PRADESH,,23,"421",787204.11497899995,8152214139.06999969482,342,49046,143.409356725146
R>J NANDGAON,CHHATT|SGARH,,22,"388",766223.94651299994,7780164358.46999931335,326,0,0
RAJGARH,MADHYA PRADESH,,23,"422",463591.49556299997,5929180665.41999912262,247,0,0
R>J SAMAND,R>JASTH>N,,8,"112",701612.53479199996,4452621909.52999973297,183,0,0
RAMGARH,JH>RKHAND,,20,"607",331867.36426300002,1339974221.28999996185,55,0,0
R>MANAGARAM,KARN>TAKA,,29,"631",463142.65854400001,3508219073.21000051498,141,928086,6582.17021276596
R>MPUR,UTTAR PRADESH,,9,"176",405602.54969299998,2291226529.82000017166,94,0,0
RANCHI,JH>RKHAND,,20,"339",615497.77373300004,4794372182.93000030518,203,0,0
RATLAM,MADHYA PRADESH,,23,"423",559323.23673700006,4668623536.01000022888,192,295664,1539.91666666667
R>YAGARHA,ODISHA,,21,"370",790225.66347100004,7104622187.62999916077,295,265606,900.359322033898
REWA,MADHYA PRADESH,,23,"424",658363.87564700004,6055963203.36999988556,250,0,0
RUDRAPRAY>G,UTTAR>KHAND,,5,"54",249893.93264300001,1936521456.09999966621,78,0,0
S>BAR K>NTHA,GUJAR>T,,24,"458",581212.59778099996,4079235142.51000022888,163,0,0
SAGAR,MADHYA PRADESH,,23,"425",1022387.60782999999,9872214409.73999977112,406,0,0
SAH>RANPUR,UTTAR PRADESH,,9,"177",374467.83332600002,3612815417.71000003815,152,0,0
SAHIBGANJ,JH>RKHAND,,20,"340",312017.89312000002,2101567038.42999982834,86,0,0
SAIHA,MIZORAM,,15,"267",279456.27615900000,1472797725.22000002861,58,0,0
SAMBALPUR,ODISHA,,21,"371",647721.28919499996,6406160531.77000045776,266,0,0
SAMBHAL,UTTAR PRADESH,,9,"659",399084.15324900002,2348855076.11999988556,101,0,0
SANTKABIRNAGAR,UTTAR PRADESH,,9,"178",392258.32543199998,1582121286.35999965668,64,0,0
SARAIKELA-KHARSAWAN,JH>RKHAND,,20,"341",364986.25641600002,2557734350.03999996185,108,0,0
SATNA,MADHYA PRADESH,,23,"426",1018097.64876999997,7235778804.64999961853,306,0,0
SAW>I M>DHOPUR,R>JASTH>N,,8,"113",570117.24210000003,4839362637.72000026703,206,0,0
SEHORE,MADHYA PRADESH,,23,"427",863302.64957899996,6317351567.76000022888,262,458972,1751.80152671756
SEONI,MADHYA PRADESH,,23,"428",705550.06273899996,8430271480.59000015259,352,0,0
SEPAHIJALA,TRIPURA,,16,"653",261051.75802600000,1018378012.76999986172,42,0,0
SHAHADRA,DELHI,,7,"671",33443.79661550001,33287844.24320000038,1.37561325594297,0,0
SHAHDOL,MADHYA PRADESH,,23,"429",603888.98636099999,5462047268.86999988556,227,0,0
SH>HJAH>NPUR,UTTAR PRADESH,,9,"180",695415.33557100000,4169028949.40999984741,172,0,0
SH>J>PUR,MADHYA PRADESH,,23,"430",447265.16058299999,3329015915.92000007629,142,18800,132.394366197183
SH>MLI,UTTAR PRADESH,,9,"660",201783.64212300000,1226415733.76999998093,50,0,0
SHEOPUR,MADHYA PRADESH,,23,"431",548588.24476799998,6358711018.75000095367,270,0,0
SHIMLA,HIM>CHAL PRADESH,,2,"23",551672.20255199994,5007028594.39999961853,205,0,0
SHIVAMOGGA,KARN>TAKA,,29,"547",746077.36306600005,8394388205.85000038147,341,808108,2369.81818181818
SHIVPURI,MADHYA PRADESH,,23,"432",853079.68533300003,9894701466.27000045776,407,0,0
SHR>WASTI,UTTAR PRADESH,,9,"181",302869.70075800002,1864596528.91000008583,78,0,0
SIDDHARTHNAGAR,UTTAR PRADESH,,9,"182",415859.37724700000,2793412094.75000000000,120,0,0
SIDHI,MADHYA PRADESH,,23,"433",519227.09455099999,4591745506.26000022888,193,0,0
S|KAR,R>JASTH>N,,8,"114",719407.44274800003,7462763686.14000034332,308,0,0
SIMDEGA,JH>RKHAND,,20,"342",402245.47269400000,3634647646.56999969482,150,0,0
SINGRAULI,MADHYA PRADESH,,23,"638",511442.16179899999,5543913865.64999961853,229,0,0
SIRMAUR,HIM>CHAL PRADESH,,2,"24",349597.16685899999,2755326032.86000013351,114,0,0
SIROHI,R>JASTH>N,,8,"115",455078.63786399999,4939274829.01000022888,208,0,0
S|T>PUR,UTTAR PRADESH,,9,"183",540535.80795799999,5539949266.85000038147,233,0,0
SOLAN,HIM>CHAL PRADESH,,2,"25",322063.13591600000,1889942391.94000005722,74,0,0
SONBHADRA,UTTAR PRADESH,,9,"184",572494.99088099995,6621089502.61999988556,280,0,0
SOUTH,DELHI,,7,"83",69956.04237000000,154141201.45100000501,5,0,0
SOUTH,SIKKIM,,11,"227",160104.58771200001,706652227.48599994183,28,0,0
SOUTH ANDAMAN,ANDAMAN & NICOBAR,,35,"602",1785415.55064000003,2546504280.90999984741,100,0,0
SOUTH G>RO HILLS,MEGH>LAYA,,17,"277",286551.38231000002,1765025387.45000004768,73,0,0
SOUTH GOA,GOA,,30,"552",327335.00931699999,1922050729.18999981880,79,168116,2128.05063291139
SOUTH TRIPURA,TRIPURA,,16,"271",340006.20764199999,1405518823.23000001907,58,0,0
SOUTH WEST,DELHI,,7,"84",111613.64782400000,274177794.74400001764,9,0,0
SRIKAKULAM,ANDHRA PRADESH,,28,"519",691140.07522700005,5663014977.94999980927,233,91378,392.18025751073
SUBARNAPUR,ODISHA,,21,"372",339504.54678300000,2277766431.05000019073,93,0,0
SUKMA,CHHATT|SGARH,,22,"642",629317.53168300004,5319456684.28999996185,221,73371,331.995475113122
SULTANPUR,UTTAR PRADESH,,9,"185",461970.43751500000,2575456889.09000015259,108,0,0
SUNDARGARH,ODISHA,,21,"373",809479.77238300000,9359929189.09000015259,388,0,0
S@RAJPUR,CHHATT|SGARH,,22,"648",585291.43373000005,5245401635.61999988556,220,0,0
