District,STATE,REMARKS,State_LGD,DISTRICT_L,Shape_Leng,Shape_Area,clayey_count,clayey_sum,clayey_mean
WARANGAL (URBAN),TELANG>NA,,36,"686",189478.39817000000,1131099837.71000003815,45,206482,4588.48888888889
WARANGAL (RURAL),TELANG>NA,,36,"522",308652.44989599998,2173393161.26999998093,94,579231,6162.03191489362
JAYASHANKAR BHUPALAPALLY,TELANG>NA,,36,"687",356652.74043499999,2788086101.25000000000,117,569185,4864.82905982906
PEDDAPALLI,TELANG>NA,,36,"682",241335.07819199999,2127605718.57000017166,90,422299,4692.21111111111
JAGTIAL,TELANG>NA,,36,"681",287769.56677400001,2796130892.46000003815,116,282914,2438.91379310345
RANJANNA SIRCILLA,TELANG>NA,,36,"683",235176.92162400001,1754886118.06999993324,77,199405,2589.67532467532
MEDAK,TELANG>NA,,36,"513",420195.17294600001,2670510023.51999998093,105,449217,4278.25714285714
EAST SIANG,ARUN>CHAL PRADESH,,12,"232",212629.71485799999,1623400625.01999998093,68,46498,683.794117647059
LONGDING,ARUN>CHAL PRADESH,Not Verified on Ground,12,"666",171487.61259800001,902244317.47699999809,36,124835,3467.63888888889
ARIYAL@R,TAMIL N>DU,,33,"610",259098.15307800000,1953551845.54999995232,77,541480,7032.20779220779
CHENGALPATTU,TAMIL N>DU,,33,"730",358842.50591800001,2720867896.50000000000,113,376431,3331.24778761062
CHENNAI,TAMIL N>DU,,33,"568",129264.58498600000,332995243.65899997950,13,17963,1381.76923076923
COIMBATORE,TAMIL N>DU,,33,"569",567689.26418800000,4774994296.48999977112,189,772322,4086.35978835979
CUDDALORE,TAMIL N>DU,,33,"570",538000.31045899994,3726277215.72000026703,147,782055,5320.10204081633
DHARMAPURI,TAMIL N>DU,,33,"571",524839.92595399998,4507661284.65999984741,177,546435,3087.20338983051
DINDIGUL,TAMIL N>DU,,33,"572",647345.61217199999,6144763049.18999958038,245,504168,2057.82857142857
ERODE,TAMIL N>DU,,33,"573",754856.03542900004,5145413409.27999973297,201,401159,1995.81592039801
K>NCHIPURAM,TAMIL N>DU,,33,"574",434909.58143399999,1742378007.19999980927,68,253495,3727.86764705882
KALLAKKURICHI,TAMIL N>DU,,33,"729",423126.66544800001,3547769481.38999986649,141,351131,2490.29078014184
KANY>KUMARI,TAMIL N>DU,,33,"575",250200.34126600000,1735656760.70000004768,64,421180,6580.9375
KAR@R,TAMIL N>DU,,33,"576",465382.76362099999,2937839639.38999986649,115,244006,2121.79130434783
MADURAI,TAMIL N>DU,,33,"578",556591.14273399999,3778649192.34000015259,148,864901,5843.92567567568
N|LGIRIS,TAMIL N>DU,,33,"587",348091.55066100002,2448560749.01000022888,97,670343,6910.75257731959
N>GAPATTINAM,TAMIL N>DU,,33,"579",551117.20737199998,2596160074.42000007629,109,655369,6012.55963302752
N>MAKKAL,TAMIL N>DU,,33,"580",421895.92602900002,3447144066.82999992371,142,166334,1171.3661971831
PERAMBAL@R,TAMIL N>DU,,33,"581",293242.93593099999,1771180070.40000009537,71,482257,6792.35211267606
PUDUKKOTTAI,TAMIL N>DU,,33,"582",700396.39969300001,4724470766.07999992371,190,318961,1678.74210526316
R>MAN>THAPURAM,TAMIL N>DU,,33,"583",759677.18672899995,4205965470.07000017166,159,1107003,6962.28301886792
R>NIPPETTAI,TAMIL N>DU,,33,"731",364819.85709599999,1844110586.89999985695,75,367722,4902.96
SALEM,TAMIL N>DU,,33,"584",915161.46665600000,6037029189.72999954224,243,692032,2847.8683127572
SIVAGANGA,TAMIL N>DU,,33,"585",696117.07850099995,4324025753.96000003815,169,394043,2331.61538461538
TENI,TAMIL N>DU,,33,"588",346738.89704299998,2923469272.80000019073,114,761516,6679.9649122807
TENKASI,TAMIL N>DU,,33,"733",376983.82050700003,2883873054.36999988556,113,575192,5090.19469026549
THANJ>V@R,TAMIL N>DU,,33,"586",657496.45538499998,3471130011.69000005722,136,713852,5248.91176470588
THIRUV>R@R,TAMIL N>DU,,33,"590",478490.38886800001,2294247331.82000017166,88,647515,7358.125
TIRUCHIR>PALLI,TAMIL N>DU,,33,"591",803655.82080099999,4544662494.21000003815,179,434801,2429.05586592179
TIRUNELVELI,TAMIL N>DU,,33,"592",472798.25566700002,4003497672.71999979019,156,600713,3850.72435897436
TIRUPP@R,TAMIL N>DU,,33,"634",694086.49690599996,5258915004.30000019073,202,311247,1540.82673267327
TIRUPPATT@R,TAMIL N>DU,,33,"732",320210.74399300001,2114299060.61999988556,84,181438,2159.97619047619
TIRUVALL@R,TAMIL N>DU,,33,"589",690569.58346100000,3213859851.86999940872,126,436715,3465.99206349206
TIRUVANN>MALAI,TAMIL N>DU,,33,"593",717314.50534200005,6180277375.92000007629,247,1483919,6007.76923076923
TUTICORIN,TAMIL N>DU,,33,"594",528597.00421699998,4873818770.80000019073,192,1384927,7213.16145833333
VELLORE,TAMIL N>DU,,33,"595",428348.67737100000,2101439158.84999990463,87,223719,2571.48275862069
VILLUPURAM,TAMIL N>DU,,33,"596",599858.09447999997,3669168010.94999980927,140,1029175,7351.25
VIRUDHUNAGAR,TAMIL N>DU,,33,"597",574984.91636499995,4336580864.72999954224,169,1334111,7894.14792899408
KRISHNAGIRI,TAMIL N>DU,,33,"577",636648.09591100004,5134733859.90999984741,205,690810,3369.80487804878
DISPUTED (NIMACH & CHITTAURGARH ),DISPUTED (MADHYA PRADESH & R>JASTH>N),,0,,12630.20746250000,3402949.32241000002,0.141529455606652,1182.78783799339,8357.18496141655
DISPUTED (B>R>N & SHEOPUR,DISPUTED (MADHYA PRADESH & R>JASTH>N),,0,,13344.14686240000,8037774.79578000028,0.334220094905395,3207.48258691327,9596.9172285143
DISPUTED (S>BAR K>NTHA & UDAIPUR),DISPUTED (R>JATH>N & GUJAR>T),,0,,59030.26943890000,11986027.05069999956,0.498275824405111,142.53069800392,286.047789242207
DISPUTED (S>BAR K>NTHA & SIROHI),DISPUTED (R>JATH>N & GUJAR>T),,0,,10923.65413700000,1639688.34786000010,0.0682140135480018,0,0
DADRA & NAGAR HAVELI,D>DRA & NAGAR HAVELI & DAM>N & DIU,,38,"465",225234.79204500001,473306908.96700000763,19,34592,1820.63157894737
BAKSA,ASSAM,,18,"616",511427.73745900003,2575624328.21000003815,96,8636,89.9583333333333
BARPETA,ASSAM,,18,"280",415011.19768300001,2141792153.47000026703,89,46965,527.696629213483
BISWANATH,ASSAM,Not Verified on Ground,18,"705",226550.26311999999,1720650757.74000000954,87,29,0.333333333333333
BONGAIGAON,ASSAM,,18,"281",278101.50846500002,938074332.77699995041,43,28066,652.697674418605
CACHAR,ASSAM,,18,"282",433439.25827200001,3638666626.69000005722,154,498817,3239.07142857143
CHARAIDEO,ASSAM,Not Verified on Ground,18,"708",224632.57132500000,1036074512.95000004768,39,29823,764.692307692308
CHIRANG,ASSAM,,18,"612",310549.77846399997,1962996248.16000008583,78,72950,935.25641025641
DARRANG,ASSAM,,18,"283",331697.06167600001,1309522556.97000002861,61,0,0
DHEMAJI,ASSAM,,18,"284",401430.52996600000,2381017115.25000000000,99,0,0
DHUBRI,ASSAM,NOT VERIFIED,18,"285",484020.12303500000,1514111328.25999999046,66,53199,806.045454545455
DIBRUGARH,ASSAM,,18,"286",441649.09141800000,3275833020.17000007629,131,15043,114.832061068702
DIM> H>SAO,ASSAM,,18,"299",499690.77233700000,4698230544.10000038147,192,622701,3243.234375
GOALPARA,ASSAM,,18,"287",330027.80952299997,1847011606.20000028610,82,455152,5550.63414634146
GOLAGHAT,ASSAM,NOT VERIFIED,18,"288",611752.90868300002,3389099120.73000001907,133,256615,1929.43609022556
HAILAKANDI,ASSAM,,18,"289",262606.79240699997,1278171571.75000000000,51,52054,1020.66666666667
HOJAI,ASSAM,Not Verified on Ground,18,"709",252272.50063200001,1401079754.04999995232,57,182056,3193.9649122807
JORHAT,ASSAM,NOT VERIFIED,18,"290",348007.02277799998,1976286241.86999988556,73,18202,249.342465753425
KAMRUP METRO,ASSAM,,18,"618",217860.15088199999,924998183.28900015354,41,138704,3383.0243902439
KAMRUP RURAL,ASSAM,,18,"291",533767.45439900004,3002073957.67000055313,127,371722,2926.94488188976
KARBI ANGLONG,ASSAM,Not Verified on Ground,18,"292",793115.49534599995,7052761470.84000015259,292,1561723,5348.36643835616
KARIMGANJ,ASSAM,,18,"293",253526.55593500001,1743612777.20000004768,76,18037,237.328947368421
KOKRAJHAR,ASSAM,,18,"294",370102.89945800003,3005469475.00000000000,125,22064,176.512
LAKHIMPUR,ASSAM,,18,"295",372367.88503300003,2888806626.55000019073,121,0,0
MAJULI,ASSAM,Not Verified on Ground,18,"706",187633.77704099999,760410814.68700003624,51,0,0
MARIGAON,ASSAM,,18,"296",225512.75186200000,1483599654.86999988556,60,138376,2306.26666666667
NAGAON,ASSAM,NOT VERIFIED,18,"297",595983.80540099996,2482159569.61999988556,102,200892,1969.52941176471
NALBARI,ASSAM,,18,"298",235768.40190699999,1020897077.31000006199,40,0,0
SIBSAGAR,ASSAM,NOT VERIFIED,18,"300",266939.34807800001,1512179589.01000022888,66,553,8.37878787878788
SONITPUR,ASSAM,NOT VERIFIED,18,"301",302021.09840199997,3318736009.51999998093,120,15,0.125
SOUTH SALMARA MANCACHAR,ASSAM,Not Verified on Ground,18,"707",234231.82711600000,657868873.69900000095,24,18023,750.958333333333
TINSUKIA,ASSAM,,18,"302",419712.54077000002,3677171930.98000001907,152,143766,945.828947368421
UDALGURI,ASSAM,,18,"617",363765.33847800002,1977227539.25000000000,84,23850,283.928571428571
WEST KARBI ANGLONG,ASSAM,Not Verified on Ground,18,"710",430785.10403699998,2957339839.67000007629,124,463461,3737.58870967742
