District,STATE,REMARKS,State_LGD,DISTRICT_L,Shape_Leng,Shape_Area,sandy_count,sandy_sum,sandy_mean
BARAGARH,ODISHA,,21,"347",603877.34730499994,5624674392.31999969482,229,0,0
B>R>N,R>JASTH>N,,8,"89",632102.19394200004,6726828635.93999958038,277,22102,79.7906137184115
BAREILLY,UTTAR PRADESH,,9,"130",516176.11593099998,3985895113.98000049591,164,335,2.04268292682927
B>RMER,R>JASTH>N,,8,"90",1049617.25185999996,27319207031.20000076294,1140,7364376,6459.97894736842
BARWANI,MADHYA PRADESH,,23,"393",493718.64227000001,5227384390.81000041962,220,0,0
BASTAR,CHHATT|SGARH,,22,"374",569531.12597599998,5228700398.78999996185,218,0,0
BASTI,UTTAR PRADESH,,9,"131",371752.22380799998,2684574246.21000003815,113,0,0
BELAG>VI,KARN>TAKA,,29,"527",1101145.49922999996,13157389060.90000152588,535,0,0
BEMET>RA,CHHATT|SGARH,,22,"650",379763.71248699998,2155425658.03999996185,88,0,0
BENGAL@RU RURAL,KARN>TAKA,,29,"526",491266.99765999999,2286911394.90999984741,97,0,0
BENGAL@RU URBAN,KARN>TAKA,,29,"525",332478.19448300003,2189237083.51000022888,86,0,0
BETUL,MADHYA PRADESH,,23,"394",726502.59591699997,9679103297.63999938965,408,0,0
BHADOHI,UTTAR PRADESH,,9,"179",273256.72492399998,976420388.66999995708,40,11741,293.525
BHADRAK,ODISHA,,21,"348",356631.20418399997,2415828025.28999996185,98,0,0
BHARATPUR,R>JASTH>N,,8,"91",731664.14342099999,4881165658.53999996185,203,187337,922.84236453202
BH|LW>RA,R>JASTH>N,,8,"92",724746.61398599995,10089945542.29999923706,426,15294,35.9014084507042
BHIND,MADHYA PRADESH,,23,"395",592535.66903999995,4298496364.60000038147,179,0,0
BHOPAL,MADHYA PRADESH,,23,"396",378109.02190900000,2660915967.94999980927,110,20404,185.490909090909
B|DAR,KARN>TAKA,,29,"529",551963.04584999999,5296106339.05000019073,218,0,0
B|J>PUR,CHHATT|SGARH,,22,"636",717764.34033599996,8962483683.11000061035,367,0,0
BIJNOR,UTTAR PRADESH,,9,"132",381323.12095499999,4465254228.84000015259,185,281187,1519.92972972973
B|K>NER,R>JASTH>N,,8,"93",1180982.39229999995,29242823510.20000076294,1210,5335578,4409.56859504132
BIL>SPUR,CHHATT|SGARH,,22,"375",447081.50785599998,3410747938.82000017166,142,0,0
GAURELA-PENDRA-MARWAHI,CHHATT|SGARH,,22,"734",269819.93649300002,1918218806.11999964714,82,0,0
BIL>SPUR,HIM>CHAL PRADESH,,2,"15",253303.28362500001,1139841150.08999991417,49,25375,517.857142857143
BISHNUPUR,MANIPUR,,14,"252",158213.28630800001,461820332.27200001478,20,0,0
BOKARO,JH>RKHAND,,20,"322",426028.25347699999,2769081510.11999988556,119,0,0
BULANDSHAHR,UTTAR PRADESH,,9,"134",383798.39097000001,3402373200.41000032425,142,38325,269.894366197183
B@NDI,R>JASTH>N,,8,"94",483675.26263399998,5557825521.47000026703,229,0,0
BURHANPUR,MADHYA PRADESH,,23,"397",333906.40709200001,3107225756.71999979019,128,0,0
CENTRAL,DELHI,,7,"77",92366.02411550000,103186016.09400001168,3,0,0
CH>MAR>JANAGAR,KARN>TAKA,,29,"531",591094.40235300001,5667936944.09000015259,229,0,0
CHAMBA,HIM>CHAL PRADESH,,2,"16",561018.42641199997,6411374707.60999965668,260,194367,747.565384615385
CHAMP>WAT,UTTAR>KHAND,,5,"48",271591.23589200003,1715186952.97000002861,71,0,0
CHAMPH>I,MIZORAM,,15,"262",417447.64627299999,3269846214.01000070572,137,0,0
CHANDAULI,UTTAR PRADESH,,9,"135",383495.88005899999,2452050714.15000009537,102,93890,920.490196078431
CHANDEL,MANIPUR,,14,"253",237512.98587400001,1896502418.80999994278,78,0,0
CHANDIGARH,CHAND|GARH,,4,"44",62113.07637860000,111867387.14599999785,5,2552,510.4
CHATRA,JH>RKHAND,,20,"323",563467.09325899999,3659068583.38000059128,156,0,0
CHHATARPUR,MADHYA PRADESH,,23,"398",996335.29110799998,8344542362.18999958038,348,0,0
CHHINDWARA,MADHYA PRADESH,,23,"399",814856.77476800000,11368092974.29999923706,467,0,0
CHHOTA UDEPUR,GUJAR>T,,24,"668",515414.99447699997,3326713607.30000019073,139,0,0
CHIK BALL>PUR,KARN>TAKA,,29,"630",493203.11986500002,4213065376.55999994278,171,0,0
CHIKKAMAGAL@RU,KARN>TAKA,,29,"532",590659.05133000005,7157359114.53999996185,287,0,0
CHITRADURGA,KARN>TAKA,,29,"533",674318.41025099996,8346938429.78999996185,338,0,0
CHITRAKOOT,UTTAR PRADESH,,9,"136",533683.22727000003,3070689929.17999982834,128,93572,731.03125
CHITTAURGARH,R>JASTH>N,,8,"95",1003416.54359999998,7515310038.81000041962,316,0,0
CHITTOOR,ANDHRA PRADESH,,28,"503",1287744.15934000001,14907547828.40000152588,604,0,0
CHUR>CH>NDPUR,MANIPUR,,14,"254",288454.45405000000,2341837747.98000001907,100,0,0
CH@RU,R>JASTH>N,,8,"96",1026392.85028000001,13393563936.09999847412,558,4615795,8272.03405017921
Y S R KADAPA,ANDHRA PRADESH,,28,"504",796144.60942200001,15155269448.50000000000,610,0,0
CUTTACK,ODISHA,,21,"350",623347.49237999995,3720048022.69999980927,157,0,0
D>HOD,GUJAR>T,,24,"445",397208.12360799999,3503175922.00000000000,142,2721,19.1619718309859
DAKSHINA  KANNADA,KARN>TAKA,,29,"534",485546.30545699998,4846207973.22000026703,190,13933,73.3315789473684
DAMAN,D>DRA & NAGAR HAVELI & DAM>N & DIU,,38,"463",49913.14934440000,68969441.33020000160,2,0,0
DAMOH,MADHYA PRADESH,,23,"400",634967.98026800004,7021653982.39000034332,291,11357,39.0274914089347
D>NGS,GUJAR>T,,24,"444",267412.23872099997,1703425588.23000025749,71,0,0
DAKSHIN BASTAR DANTEW>DA,CHHATT|SGARH,,22,"376",460460.21793400001,2733461710.07000017166,112,0,0
DATIA,MADHYA PRADESH,,23,"401",560683.83120799996,2585631791.92000007629,110,0,0
DAUSA,R>JASTH>N,,8,"97",515836.19162000000,3292720927.65000057220,139,138858,998.978417266187
D>VANGERE,KARN>TAKA,,29,"535",589250.39690800000,5852940042.40999984741,235,0,0
DEHRAD@N,UTTAR>KHAND,,5,"49",503253.16431000002,3019033005.11000013351,125,13918,111.344
DEOGARH,ODISHA,,21,"351",409810.12600300001,2847432415.71000003815,119,0,0
DEORIA,UTTAR PRADESH,,9,"137",396811.75571900001,2443591235.76999998093,100,0,0
DEWAS,MADHYA PRADESH,,23,"402",851413.88103399996,6745244327.27000045776,276,0,0
DHALAI,TRIPURA,,16,"269",368965.01104900002,2191520472.86999988556,93,0,0
DHAMTARI,CHHATT|SGARH,,22,"377",432007.38739900000,3943167561.26000022888,164,0,0
DHANBAD,JH>RKHAND,,20,"325",224325.41372600000,1959276427.23000001907,82,0,0
DHAR,MADHYA PRADESH,,23,"403",594125.33839599998,7847408490.51000022888,326,0,0
AYODHYA,UTTAR PRADESH,,9,"140",368810.21522000001,2590690408.88000011444,109,0,0
DEOGHAR,JH>RKHAND,,20,"324",310907.25985899998,2390217604.53000020981,97,0,0
DH>RWAD,KARN>TAKA,,29,"536",466079.21497600002,4185668771.86000013351,173,0,0
DHENK>N>L,ODISHA,,21,"352",407088.67625100003,4299977172.51000022888,178,0,0
DHAULPUR,R>JASTH>N,,8,"98",397730.00105700002,2923875633.46000003815,123,0,0
DINDORI,MADHYA PRADESH,,23,"404",640341.91001200001,5526516790.03999996185,235,0,0
DUMKA,JH>RKHAND,,20,"326",406167.96867799998,3615427429.57999992371,153,0,0
D@NGARPUR,R>JASTH>N,,8,"99",373314.88251800003,3625027685.80000019073,150,0,0
DURG,CHHATT|SGARH,,22,"378",341679.97551800002,2214112656.50000000000,91,0,0
EAST,DELHI,,7,"78",24536.83059660000,30510722.91580000147,1.26104937829829,0,0
EAST,SIKKIM,,11,"225",146187.57622500000,905270519.66700017452,36,0,0
EAST G>RO HILLS,MEGH>LAYA,,17,"273",241796.98896600000,1521778459.57999992371,63,0,0
EAST GODAVARI,ANDHRA PRADESH,,28,"505",1004317.88398000004,12589817609.00000190735,514,20394,39.6770428015564
EAST KH>SI HILLS,MEGH>LAYA,,17,"274",331204.46958500001,2735979477.26999998093,112,0,0
EAST NIMAR,MADHYA PRADESH,,23,"405",605136.19215599995,7190925042.03999996185,297,0,0
ERN>KULAM,KERALA,,32,"555",414199.27736299997,3115071285.48000001907,119,6663,55.9915966386555
ETAH,UTTAR PRADESH,,9,"138",494594.14467499999,2338665093.01000022888,100,6003,60.03
ET>WAH,UTTAR PRADESH,,9,"139",330796.84307599999,2241659390.76999998093,93,0,0
FARRUKH>B>D,UTTAR PRADESH,,9,"141",342912.66093900002,2104537712.83999991417,91,174395,1916.42857142857
FATEHPUR,UTTAR PRADESH,,9,"142",437048.11623699998,4012799500.53000020981,168,284314,1692.34523809524
FIROZ>B>D,UTTAR PRADESH,,9,"143",389477.99888899998,2333857122.82999992371,95,0,0
GADAG,KARN>TAKA,,29,"537",559734.03081899998,4576795324.68999958038,183,0,0
GAJAPATI,ODISHA,,21,"353",505662.57022100000,4001409962.53000020981,167,0,0
GANJ>M,ODISHA,,21,"354",679720.08148699999,8115391150.28999996185,332,14694,44.2590361445783
GARHWA,JH>RKHAND,,20,"328",411883.17961699999,3943667394.67999982834,163,0,0
GARIY>BAND,CHHATT|SGARH,,22,"645",512147.53486999997,4675476420.44999980927,194,0,0
GAUTAMBUDHNAGAR,UTTAR PRADESH,,9,"144",310305.17694099998,1367580032.39000010490,56,0,0
GAZIPUR,UTTAR PRADESH,,9,"146",413354.73022299999,3252688582.04000043869,135,134581,996.896296296296
GH>ZI>B>D,UTTAR PRADESH,,9,"145",217418.36005300001,882411235.64299988747,36,0,0
G|R SOMN>TH,GUJAR>T,,24,"675",396544.45320500003,2549589437.78000020981,106,15832,149.358490566038
GIRIDIH,JH>RKHAND,,20,"329",468886.65629900002,4772801949.38000011444,200,0,0
GODDA,JH>RKHAND,,20,"330",314184.80731800001,2195720988.78000020981,94,0,0
GOMATI,TRIPURA,,16,"654",343493.49667500000,1556344729.98000001907,65,0,0
GONDA,UTTAR PRADESH,,9,"147",513177.22554000001,3838936965.90999984741,159,0,0
GORAKHPUR,UTTAR PRADESH,,9,"148",548846.09266199998,3208369037.57999944687,139,0,0
GUMLA,JH>RKHAND,,20,"331",564026.42188299994,5154590132.42000007629,214,32063,149.827102803738
GUNA,MADHYA PRADESH,,23,"406",674934.75869000005,6135291987.36999988556,255,0,0
GUNTUR,ANDHRA PRADESH,,28,"506",800649.10298299999,11159896511.89999961853,454,46506,102.436123348018
GWALIOR,MADHYA PRADESH,,23,"407",392206.19242300000,4392940982.77999973297,185,0,0
HAM|RPUR,HIM>CHAL PRADESH,,2,"17",188675.94177199999,1092455557.70000004768,44,65458,1487.68181818182
HAMIRPUR,UTTAR PRADESH,,9,"149",504533.83646399999,3748844216.32000017166,159,0,0
HANUM>NGARH,R>JASTH>N,,8,"101",939963.77775100002,9415831017.53000068665,380,1105900,2910.26315789474
H>PUR,UTTAR PRADESH,,9,"661",246171.83691600000,1081374944.17000007629,46,25458,553.434782608696
HARDA,MADHYA PRADESH,,23,"408",309197.24647600000,3215630808.73999977112,134,0,0
HARDOI,UTTAR PRADESH,,9,"150",580623.30044499994,5776645684.00000000000,238,60871,255.760504201681
HARIDW>R,UTTAR>KHAND,,5,"50",287340.47263400001,2225504964.00000000000,90,106428,1182.53333333333
HASSAN,KARN>TAKA,,29,"539",653271.78234599996,6790131976.16999912262,272,0,0
H>THRAS,UTTAR PRADESH,,9,"163",349333.62115800002,1720320995.72000002861,71,0,0
H>VERI,KARN>TAKA,,29,"540",467260.53066200000,4756757131.34000015259,194,0,0
HAZARIBAGH,JH>RKHAND,,20,"332",663332.48776000005,4170568752.55000019073,171,0,0
HOSHANG>B>D,MADHYA PRADESH,,23,"409",569919.85454199999,6432088919.26000022888,268,0,0
IDUKKI,KERALA,,32,"556",578310.55097400001,4444596050.06999969482,177,0,0
IMPHAL WEST,MANIPUR,,14,"256",195028.39039799999,468816414.14800000191,17,0,0
INDORE,MADHYA PRADESH,,23,"410",517693.36371200002,3759399157.63999986649,156,0,0
JABALPUR,MADHYA PRADESH,,23,"411",576720.81861199997,4898395541.85999965668,204,0,0
JAGATSINGHPUR,ODISHA,,21,"355",262528.01857900003,1674095798.69999980927,69,20189,292.594202898551
JAIPUR,R>JASTH>N,,8,"102",843777.22914700001,10738111916.79999923706,442,1023786,2316.25791855204
JAISALMER,R>JASTH>N,,8,"103",1149947.19488000008,37076827428.80000305176,1533,12213166,7966.8401826484
J>JAPUR,ODISHA,,21,"356",433131.24493300001,2794481950.19999980927,115,0,0
JALAUN,UTTAR PRADESH,,9,"151",494340.82501500001,4393854037.35999965668,181,0,0
J>LOR,R>JASTH>N,,8,"104",734506.07877300004,10237007641.50000000000,427,2375574,5563.40515222482
JAMTARA,JH>RKHAND,,20,"333",327376.66560800001,1738218050.81999993324,76,0,0
J>NJG|R - CH>MPA,CHHATT|SGARH,,22,"379",555226.65255799994,4321848604.72999954224,184,0,0
JASHPUR,CHHATT|SGARH,,22,"380",501891.72378300002,5627659956.30000019073,236,1266,5.36440677966102
JAUNPUR,UTTAR PRADESH,,9,"152",539279.97495800001,3882282959.90000009537,158,0,0
JHABUA,MADHYA PRADESH,,23,"412",340600.11476600001,3311826109.49000024796,139,18640,134.10071942446
DISPUTED (RATLAM & B>NSW>RA),DISPUTED (MADHYA PRADESH & R>JASTH>N),,0,,4472.64554852000,690105.44732100004,0.0287058858205295,0,0
JH>L>W>R,R>JASTH>N,,8,"105",754272.12085299997,6098840407.68999958038,256,0,0
JHANSI,UTTAR PRADESH,,9,"153",994300.22835600004,4832822966.53999996185,205,0,0
JH>RSUGUDA,ODISHA,,21,"357",357233.91903300001,1995409611.58999991417,86,0,0
JHUNJHUN@N,R>JASTH>N,,8,"106",520688.84273999999,5725228370.84000015259,240,2072715,8636.3125
JODHPUR,R>JASTH>N,,8,"107",1036725.76566000003,21857052895.40000152588,908,4303343,4739.36453744493
J@N>GADH,GUJAR>T,,24,"448",650849.60524599999,5922423712.60999965668,246,49427,200.922764227642
KAB|RDH>M,CHHATT|SGARH,,22,"382",434302.99125399999,4037905476.30999994278,168,0,0
KALABURAGI,KARN>TAKA,,29,"538",891041.04382400005,10677305597.10000038147,437,0,0
KAL>H>NDI,ODISHA,,21,"358",636149.20425700000,7632727250.78999996185,314,0,0
KANDHAM>L,ODISHA,,21,"359",644946.62214600004,7745678774.94999980927,321,0,0
K>NGRA,HIM>CHAL PRADESH,,2,"18",571807.66898600000,5633809227.67000007629,229,215964,943.07423580786
UTTAR BASTAR K>NKER,CHHATT|SGARH,,22,"381",645466.92956299998,6944506416.56999969482,283,0,0
KANNAUJ,UTTAR PRADESH,,9,"155",309691.03473600000,2015119811.22000002861,83,52072,627.373493975904
KANN@R,KERALA,,32,"557",339137.09602200001,2976762848.44000005722,117,0,0
KANPUR,UTTAR PRADESH,,9,"157",461116.27630500001,2888527071.26999998093,116,26985,232.629310344828
KANPUR DEHAT,UTTAR PRADESH,,9,"156",371011.67677399999,3041183145.96999931335,124,0,0
K>RAIK>L,PUDUCHERRY,,34,"598",127972.22800700000,160538689.80000001192,7,8165,1166.42857142857
KARAULI,R>JASTH>N,,8,"108",519975.88221200003,4832985849.85999965668,194,91796,473.175257731959
K>SARAGOD,KERALA,,32,"558",344680.78840800002,1992999271.91000032425,80,0,0
KASGANJ,UTTAR PRADESH,,9,"633",323363.35567899997,1891694043.50999975204,74,273519,3696.2027027027
KATNI,MADHYA PRADESH,,23,"413",635802.34950300003,4859759769.97000026703,198,0,0
KAUSHAMBI,UTTAR PRADESH,,9,"158",263022.69539600000,1721997321.44999980927,72,76683,1065.04166666667
KENDR>PARHA,ODISHA,,21,"360",406097.54542699998,2444274717.32999992371,103,5630,54.6601941747573
KEONJHAR (KENDUJHAR),ODISHA,,21,"361",664391.23017100000,7996780949.92000007629,334,0,0
KHERI,UTTAR PRADESH,,9,"159",689908.29649600002,7431766489.60999965668,308,226210,734.448051948052
KHORDHA,ODISHA,,21,"362",640351.92123900005,2781806247.82000017166,116,0,0
KHOWAI,TRIPURA,,16,"652",231379.59480300001,1011187255.24000000954,42,0,0
KHUNTI,JH>RKHAND,,20,"606",385548.04671099997,2534969139.96999979019,101,0,0
GANG>NAGAR,R>JASTH>N,,8,"100",824329.02861200005,10604700367.50000000000,439,177234,403.722095671982
EAST JAINTIA HILLS,MEGH>LAYA,,17,"657",266454.38842400000,1937293116.24000000954,82,0,0
KODAGU,KARN>TAKA,,29,"541",466411.43999300001,4107024700.63000011444,165,0,0
KODARMA,JH>RKHAND,,20,"334",313957.61092499999,1575453962.77000021935,65,0,0
KOLAR,KARN>TAKA,,29,"542",499240.77926699998,3961738111.60999965668,154,0,0
KOLLAM,KERALA,,32,"559",351983.51947599999,2552846259.80000019073,98,0,0
KONDAGAON,CHHATT|SGARH,,22,"643",478627.41609700001,4908720155.86999988556,205,0,0
KOPPAL,KARN>TAKA,,29,"543",536933.30314900004,5469501330.60999965668,223,0,0
KOR>PUT,ODISHA,,21,"363",790931.63424699998,8131518072.43000125885,332,0,0
KORBA,CHHATT|SGARH,,22,"383",484704.92379999999,6347595180.57999992371,262,0,0
KOREA,CHHATT|SGARH,,22,"384",540618.79001300002,6348856686.20000076294,262,91152,347.908396946565
KOTA,R>JASTH>N,,8,"109",608217.65680899995,4895444743.56999969482,201,0,0
KOTTAYAM,KERALA,,32,"560",322325.87532200001,2253782890.44000005722,88,15304,173.909090909091
KOZHIKODE,KERALA,,32,"561",296315.81918499997,2364872476.19999980927,91,0,0
KRISHNA,ANDHRA PRADESH,,28,"510",832126.82250200002,8561151314.05000019073,357,2513,7.03921568627451
KULLU,HIM>CHAL PRADESH,,2,"20",422724.96072300000,5379324333.97000026703,219,381748,1743.14155251142
KURNOOL,ANDHRA PRADESH,,28,"511",894651.28274199995,17077547954.29999923706,698,0,0
KUSHINAGAR,UTTAR PRADESH,,9,"160",457301.79835499998,2771299334.51999998093,117,0,0
LAKSHADWEEP,LAKSHADWEEP,,31,"553",144322.28282699999,30346283.22520000115,1.19551268443371,0,0
LALITPUR,UTTAR PRADESH,,9,"161",435480.56029100000,4850700924.81999969482,206,0,0
LATEHAR,JH>RKHAND,,20,"335",504222.16652000003,4079607814.34999990463,167,30293,181.395209580838
LOHARDAGA,JH>RKHAND,,20,"336",257886.53827100000,1448312602.47000002861,61,0,0
LUCKNOW,UTTAR PRADESH,,9,"162",370767.28996999998,2438586023.71999979019,100,15924,159.24
MAH>SAMUND,CHHATT|SGARH,,22,"385",522464.37544700003,4579577727.43000030518,189,0,0
MAHE,PUDUCHERRY,,34,"599",27438.10733680000,9020243.77363999933,0.358931737479149,0,0
MAHISAGAR,GUJAR>T,,24,"669",381868.16892099997,2415516260.59999990463,101,0,0
MAHOBA,UTTAR PRADESH,,9,"165",556516.12930000003,3143315712.71000003815,130,0,0
MAINPURI,UTTAR PRADESH,,9,"166",376263.53918399999,2640472978.63999986649,112,1713,15.2946428571429
MALAPPURAM,KERALA,,32,"562",405137.23574700003,3589215093.21999979019,143,152,1.06293706293706
"DISPUTED (S>HIBGANJ, M>LDAH & KATIH>R)","DISPUTED (WEST BENGAL , BIH>R & JH>RKHAND)",,0,,19515.38487790000,13982943.85449999943,0.581477145366051,0,0
MALKANGIRI,ODISHA,,21,"364",502153.52785499999,5614453548.26000022888,232,0,0
MANDYA,KARN>TAKA,,29,"544",546142.24703500001,4958061208.94999980927,195,0,0
MANDI,HIM>CHAL PRADESH,,2,"22",335860.11042200000,3867140398.40999984741,156,33372,213.923076923077
MANDLA,MADHYA PRADESH,,23,"415",711614.12809400004,7226559285.01000118256,298,0,0
MANDSAUR,MADHYA PRADESH,,23,"416",557027.22299499996,5334714119.27999973297,223,0,0
MATHURA,UTTAR PRADESH,,9,"167",407498.87504900002,3225493065.84000015259,130,0,0
MAU,UTTAR PRADESH,,9,"168",306512.50381899998,1670689971.45000028610,67,0,0
MAY@RBHANJ,ODISHA,,21,"365",778904.11272800004,10022504333.20000076294,417,0,0
MEERUT,UTTAR PRADESH,,9,"169",320531.34472100000,2512807895.46999979019,104,11848,113.923076923077
MIRZAPUR,UTTAR PRADESH,,9,"170",574005.62761400000,4246825888.34999942780,178,259448,1457.57303370787
MOR>D>B>D,UTTAR PRADESH,,9,"171",396486.12532200001,1887455028.06000018120,79,169582,2146.60759493671
MORENA,MADHYA PRADESH,,23,"417",630246.71711199998,4802761551.71000003815,195,0,0
MUNGELI,CHHATT|SGARH,,22,"647",435239.28960600001,2672352997.36000013351,109,0,0
MUZAFFARNAGAR,UTTAR PRADESH,,9,"172",343519.23882899998,2657072857.88999986649,109,35393,324.706422018349
MYS@RU,KARN>TAKA,,29,"545",677680.91497000004,6319631855.37999916077,255,0,0
NABARANGAPUR,ODISHA,,21,"366",557230.08014500001,5275175542.98999977112,220,0,0
N>GAUR,R>JASTH>N,,8,"110",954558.16926600004,17172898481.79999923706,710,4313455,6075.28873239437
NAINIT>L,UTTAR>KHAND,,5,"51",434894.75147299998,3869769679.38999986649,160,28857,180.35625
N>R>INPUR,CHHATT|SGARH,,22,"637",437577.54986700002,3772332359.33999967575,152,0,0
NARM>DA,GUJAR>T,,24,"452",404799.25293100002,2713805394.92999982834,110,0,0
NARSHIMAPURA,MADHYA PRADESH,,23,"418",556315.97834200005,4939286406.10000038147,203,0,0
NAY>GARH,ODISHA,,21,"367",434221.30567899998,3763289195.26999998093,158,0,0
POTTI SRIRAMULU NELLORE,ANDHRA PRADESH,,28,"515",669181.75708300003,13056481834.39999961853,533,43023,80.718574108818
NEW DELHI,DELHI,,7,"79",80699.25079190002,151623804.29499998689,7,0,0
NICOBAR,ANDAMAN & NICOBAR,,35,"603",956102.10879600001,1851896396.01999998093,72,0,0
NIMACH,MADHYA PRADESH,,23,"419",646368.77679200005,4122459893.05000019073,168,0,0
NORTH,DELHI,,7,"80",110611.97657800000,282183219.81699997187,11,3532,321.090909090909
NORTH,SIKKIM,,11,"226",328955.13737200003,4082362223.95999956131,173,0,0
NORTH & MIDDLE ANDAMAN,ANDAMAN & NICOBAR,,35,"632",3083245.68361999979,3438875022.58999967575,136,5377,39.5367647058824
NORTH EAST,DELHI,,7,"81",47370.02950990000,34205904.85000000149,2,0,0
NORTH GOA,GOA,,30,"551",276203.30368399998,1711985445.77000021935,69,0,0
